[볼린저 하단 × S02 그림자] 20260825  (생성 16:26:07)
일봉 최신성: 일봉 최신일 20260824 = 직전 거래일

OUTSIDE: 7건 (왕관 0) — 30분 평균 0.72%
NO_BAND: 1건 (왕관 0) — 30분 평균 -0.92%

건별: 상태 | 왕관 | 종목 | 신호시각 | 하단대비% | 30분% | 종가%
  OUTSIDE| N | 100790 미래에셋벤처투자 | 09:23:44 | 37.44 | 3.206 | 10.164
  OUTSIDE| N | 304100 솔트룩스 | 09:29:37 | 40.623 | 1.346 | 3.205
  OUTSIDE| N | 304100 솔트룩스 | 09:54:19 | 42.155 | -0.38 | 2.093
  OUTSIDE| N | 356860 티엘비 | 10:36:51 | 68.678 | -0.281 | 8.427
  OUTSIDE| N | 060250 NHN KCP | 10:37:10 | 36.411 | 0.867 | 3.803
  OUTSIDE| N | 131290 티에스이 | 10:39:41 | 59.253 | 0.213 | 6.383
  OUTSIDE| N | 950160 코오롱티슈진 | 10:43:21 | 103.787 | 0.103 | 1.594
  NO_BAND| N | 417030 417030 | 10:52:56 |  | -0.923 | 7.011
